"LOJA","TIPO_LOJA","TAMANHO"
"1","FERRAGENS","9,762,258,064,516,120"
"2","FERRAGENS","13,052,064,516,129,000"
"3","HIDRAULICA","24,123,870,967,741,900"
"4","FERRAGENS","13,281,483,870,967,700"
"5","HIDRAULICA","22.5"
"6","FERRAGENS","1,306,483,870,967,740"
"7","HIDRAULICA","4,562,129,032,258,060"
"8","FERRAGENS","10,005,032,258,064,500"
"9","HIDRAULICA","811,825,806,451,613"
"10","HIDRAULICA","8,162,064,516,129,030"
"11","FERRAGENS","13,387,032,258,064,500"
"12","HIDRAULICA","724,116,129,032,258"
"13","FERRAGENS","1,416,916,129,032,250"
"14","FERRAGENS","12,961,161,290,322,500"
"15","HIDRAULICA","7,983,032,258,064,510"
"16","HIDRAULICA","3,690,129,032,258,060"
"17","HIDRAULICA","6,012,129,032,258,060"
"18","HIDRAULICA","7,784,064,516,129,030"
"19","FERRAGENS","13,149,612,903,225,800"
"20","FERRAGENS","13,144,645,161,290,300"
"21","HIDRAULICA","9,043,032,258,064,510"
"22","HIDRAULICA","7,713,354,838,709,670"
"23","HIDRAULICA","7,389,225,806,451,610"
"24","FERRAGENS","13,149,612,903,225,800"
"25","HIDRAULICA","8,264,967,741,935,480"
"26","FERRAGENS","9,839,548,387,096,770"
"27","FERRAGENS","1,317,316,129,032,250"
"28","FERRAGENS","13,309,806,451,612,900"
"29","HIDRAULICA","6,041,161,290,322,580"
"30","ELETRICA","27,734,193,548,387,000"
"31","FERRAGENS","1,314,516,129,032,250"
"32","FERRAGENS","13,097,225,806,451,600"
"33","FERRAGENS","25,606,451,612,903,200"
"34","FERRAGENS","10,200,903,225,806,400"
"35","HIDRAULICA","6,689,096,774,193,540"
"36","FERRAGENS","25,748,387,096,774,100"
"37","ELETRICA","25,748,387,096,774,100"
"38","ELETRICA","25,606,451,612,903,200"
"39","FERRAGENS","118.78"
"40","FERRAGENS","10,005,354,838,709,600"
"41","FERRAGENS","12,665,870,967,741,900"
"42","ELETRICA","25,606,451,612,903,200"
"43","ELETRICA","26,491,612,903,225,800"
"44","ELETRICA","25,748,387,096,774,100"
"45","HIDRAULICA","762,716,129,032,258"
